Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State
Athletics,Philadelphia,College of Social Science,Campus Resource,9462,9/4/2015,Criminal Justice,1618,PA
Alumni Association,Denver,College of Communication Arts and Sciences,Campus Resource,696,3/1/2011,Journalism,1619,CO
Diversity Fund,Denver,College of Communication Arts and Sciences,Endowment,696,10/23/2015,Journalism,1619,CO
Diversity Fund,Seattle,College of Natural Science,Endowment,7437,5/18/2010,Plant Biology,1620,WA
College of Nursing,Seattle,College of Natural Science,Scholarship,7437,12/25/2015,Plant Biology,1620,WA
University Libraries,San Francisco,College of Engineering,Campus Resource,1198,12/19/2011,Materials Science and Engineering,1621,CA
College of Agriculture and Natural Resources,San Francisco,College of Engineering,Scholarship,1198,10/10/2015,Materials Science and Engineering,1621,CA
College of Social Science,Cedar Rapids,College of Social Science,Scholarship,8789,5/22/2010,Human Development and Family Studies,1622,IA
Alumni Association,Cedar Rapids,College of Social Science,Campus Resource,8789,6/18/2015,Human Development and Family Studies,1622,IA
Campus Recreation,Fort Lauderdale,College of Natural Science,Campus Resource,4018,11/25/2011,Physical Science Interdepartmental,1623,FL
University Annual Fund,Fort Lauderdale,College of Natural Science,Endowment,4018,3/22/2015,Physical Science Interdepartmental,1623,FL
Faculty Chair Endowments,Chicago,College of Nursing,Endowment,5715,11/22/2010,Prenursing,1624,IL
University Annual Fund,Chicago,College of Nursing,Endowment,5715,1/23/2015,Prenursing,1624,IL
University Annual Fund,Denver,College of Music,Endowment,14575.5,3/8/2011,Composition,1625,CO
College of Agriculture and Natural Resources,Denver,College of Music,Scholarship,14575.5,9/12/2015,Composition,1625,CO
Trustees Fund,Detroit,College of Nursing,Endowment,9117,2/4/2010,Summer Research Program,1626,MI
In-State Scholarship Fund,Detroit,College of Nursing,Scholarship,9117,8/29/2015,Summer Research Program,1626,MI
College of Agriculture and Natural Resources,Phoenix,College of Natural Science,Scholarship,4240,2/26/2011,Neuroscience,1627,AZ
Parents Association,Phoenix,College of Natural Science,Campus Resource,4240,1/16/2015,Neuroscience,1627,AZ
Trustees Fund,Oklahoma City,College of Arts and Sciences,Endowment,3281,2/16/2010,Studio Art,1628,OK
University Annual Fund,Oklahoma City,College of Arts and Sciences,Endowment,3281,11/20/2015,Studio Art,1628,OK
College of Music,Kansas City,College of Communication Arts and Sciences,Scholarship,600,11/29/2011,Journalism,1629,MO
Diversity Fund,Kansas City,College of Communication Arts and Sciences,Endowment,600,9/19/2015,Journalism,1629,MO
Campus Recreation,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,6664,5/1/2010,Nutritional Sciences,1630,IN
Diversity Fund,Indianapolis,College of Agriculture and Natural Resources,Endowment,6664,5/16/2015,Nutritional Sciences,1630,IN
College of Social Science,Little Rock,College of Political Science,Scholarship,2414,8/15/2011,Comparative Cultures and Politics,1631,AR
Trustees Fund,Little Rock,College of Political Science,Endowment,2414,10/5/2015,Comparative Cultures and Politics,1631,AR
University Annual Fund,Denver,College of Natural Science,Endowment,517.5,7/10/2010,"Mathematics, Advanced",1632,CO
Diversity Fund,Denver,College of Natural Science,Endowment,517.5,6/4/2015,"Mathematics, Advanced",1632,CO
Honors Program,Hartford,College of Engineering,Campus Resource,1105,4/10/2011,Biosystems Engineering,1633,CT
Campus Recreation,Hartford,College of Engineering,Campus Resource,1105,2/26/2015,Biosystems Engineering,1633,CT
University Libraries,Denver,College of Arts and Sciences,Campus Resource,13741.5,5/22/2010,Art History and Visual Culture,1634,CO
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,13741.5,3/26/2015,Art History and Visual Culture,1634,CO
Campus Museums,Seattle,College of Natural Science,Campus Resource,5794,4/3/2011,Human Biology,1635,WA
College of Engineering,Seattle,College of Natural Science,Scholarship,5794,1/28/2015,Human Biology,1635,WA
In-State Scholarship Fund,Detroit,College of Music,Scholarship,816,9/9/2010,Jazz Studies,1636,MI
College of Social Science,Detroit,College of Music,Scholarship,816,6/28/2015,Jazz Studies,1636,MI
University Annual Fund,Jacksonville,College of Communication Arts and Sciences,Endowment,9908,1/11/2011,Media and Information,1637,FL
Trustees Fund,Jacksonville,College of Communication Arts and Sciences,Endowment,9908,12/22/2015,Media and Information,1637,FL
Diversity Fund,Lansing,College of Natural Science,Endowment,8160,11/7/2010,Biomedical Laboratory Science,1638,MI
College of Social Science,Lansing,College of Natural Science,Scholarship,8160,3/21/2015,Biomedical Laboratory Science,1638,MI
University Annual Fund,Hartford,College of Natural Science,Endowment,6334,8/11/2011,Microbiology,1639,CT
College of Arts and Sciences,Cedar Rapids,College of Music,Scholarship,9831,8/7/2010,Music Performance,1640,IA
Diversity Fund,Lincoln,College of Natural Science,Endowment,3648,10/27/2011,Plant Biology,1641,NE
Diversity Fund,Tallahassee,College of Social Science,Endowment,4409,3/27/2010,Urban and Regional Planning,1642,FL
University Annual Fund,Alexandria,College of Arts and Sciences,Endowment,6330,11/27/2011,German,1643,VA
Diversity Fund,Scottsdale,College of Arts and Sciences,Endowment,4635,4/5/2010,German,1644,AZ
Trustees Fund,Tallahassee,College of Arts and Sciences,Endowment,5818,7/9/2011,Humanities-Prelaw,1645,FL
Campus Recreation,Orlando,College of Engineering,Campus Resource,5976,2/21/2010,Materials Science and Engineering,1646,FL
University Annual Fund,St. Louis,College of Agriculture and Natural Resources,Endowment,7188,6/11/2011,Entomology,1647,MO
College of Agriculture and Natural Resources,Denver,College of Natural Science,Scholarship,12661.5,9/11/2010,Environmental Biology/Zoology,1648,CO
Trustees Fund,New York,College of Agriculture and Natural Resources,Endowment,7547,9/15/2011,Fisheries and Wildlife,1649,NY
University Annual Fund,San Diego,College of Natural Science,Endowment,1207,10/4/2010,Physical Science Interdepartmental,1650,CA
Diversity Fund,Amarillo,College of Arts and Sciences,Endowment,4894,1/15/2011,Apparel and Textile Design,1651,TX
University Annual Fund,Boston,College of Social Science,Endowment,6384,5/3/2010,Interdisciplinary Studies in Social Science,1652,MA
Honors Program,Houston,College of Natural Science,Campus Resource,2646,11/4/2011,Biochemistry and Molecular Biology,1653,TX
Campus Recreation,New York,College of Agriculture and Natural Resources,Campus Resource,5603,4/9/2010,Food Industry Management,1654,NY
College of Agriculture and Natural Resources,Dallas,College of Engineering,Scholarship,2468,7/22/2011,Mechanical Engineering,1655,TX
College of Agriculture and Natural Resources,St. Paul,College of Social Science,Scholarship,9377,12/4/2010,Urban and Regional Planning,1656,MN
Parents Association,Phoenix,College of Natural Science,Campus Resource,6148,5/31/2011,Earth Science Interdepartmental,1657,AZ
College of Agriculture and Natural Resources,Cincinnati,College of Arts and Sciences,Scholarship,7284,12/19/2010,Global Studies in the Arts and Humanities,1658,OH
College of Agriculture and Natural Resources,New Orleans,College of Engineering,Scholarship,7315,2/15/2011,Computer Engineering,1659,LA
University Annual Fund,Chicago,College of Natural Science,Endowment,6406,11/10/2010,Environmental Biology/Zoology,1660,IL
Faculty Chair Endowments,Austin,College of Business,Endowment,4217,12/6/2011,Marketing,1661,TX
In-State Scholarship Fund,Tallahassee,College of Social Science,Scholarship,3411,3/20/2010,Public Policy,1662,FL
Athletics,New York,College of Social Science,Campus Resource,4745,5/18/2011,Urban and Regional Planning,1663,NY
Athletics,Phoenix,College of Business,Campus Resource,5130,8/14/2010,Human Resource Management,1664,AZ
College of Social Science,Cincinnati,College of Business,Scholarship,1001,1/20/2011,Hospitality Business,1665,OH
Diversity Fund,Seattle,College of Arts and Sciences,Endowment,4680,7/8/2010,Arabic,1666,WA
Trustees Fund,Amarillo,College of Music,Endowment,8078,3/13/2011,Music Performance,1667,TX
Trustees Fund,New York,College of Natural Science,Endowment,8788,6/4/2010,Astrophysics,1668,NY
Athletics,Portland,College of Arts and Sciences,Campus Resource,3496,5/11/2011,Art Education,1669,OR
Diversity Fund,Alexandria,College of Social Science,Endowment,6230,12/22/2010,Urban and Regional Planning,1670,VA
Diversity Fund,Chicago,College of Veterinary Medicine,Endowment,8960,2/2/2011,Preveterinary,1671,IL
Athletics,St. Paul,College of Engineering,Campus Resource,9394,4/19/2010,Electrical Engineering,1672,MN
College of Natural Science,Tucson,College of Music,Scholarship,1858,12/7/2011,Music,1673,AZ
Diversity Fund,Los Angeles,College of Social Science,Endowment,6957,4/4/2010,Psychology,1674,CA
Trustees Fund,Indianapolis,College of Arts and Sciences,Endowment,7219,12/27/2011,English,1675,IN
College of Natural Science,Hartford,College of Social Science,Scholarship,724,10/27/2010,Interdisciplinary Studies in Social Science,1676,CT
College of Natural Science,Detroit,College of Education,Scholarship,9640,10/22/2011,Education,1677,MI
Campus Recreation,Phoenix,College of Natural Science,Campus Resource,584,4/4/2010,Chemical Physics,1678,AZ
Minority Scholarship Fund,Phoenix,College of Social Science,Scholarship,9532,5/21/2011,Human Development and Family Studies,1679,AZ
College of Arts and Sciences,Birmingham,College of Arts and Sciences,Scholarship,2966,3/21/2010,Women's and Gender Studies,1680,AL
College of Arts and Sciences,Orlando,College of Natural Science,Scholarship,5109,3/16/2011,Zoology,1681,FL
University Annual Fund,San Francisco,College of Social Science,Endowment,7862,5/21/2010,Human Development and Family Studies,1682,CA
Athletics,Amarillo,College of Social Science,Campus Resource,7242,2/7/2011,Geography,1683,TX
Trustees Fund,Mobile,College of Natural Science,Endowment,5444,7/21/2010,Biomedical Laboratory Science,1684,AL
Diversity Fund,Raleigh,College of Agriculture and Natural Resources,Endowment,1864,5/27/2011,Food Industry Management,1685,NC
Faculty Chair Endowments,Los Angeles,College of Arts and Sciences,Endowment,1115,8/6/2010,Theatre,1686,CA
Diversity Fund,San Antonio,College of Social Science,Endowment,999,4/9/2011,Public Policy,1687,TX
Campus Museums,Kansas City,College of Natural Science,Campus Resource,6217,1/10/2010,Plant Biology,1688,MO
Diversity Fund,Chicago,College of Natural Science,Endowment,9280,6/17/2011,Microbiology,1689,IL
Diversity Fund,New York,College of Natural Science,Endowment,7977,4/13/2010,Biochemistry and Molecular Biology/Biotechnology,1690,NY
Parents Association,Detroit,College of Engineering,Campus Resource,8898,3/27/2011,Applied Engineering Sciences,1691,MI
College of Agriculture and Natural Resources,Hartford,College of Natural Science,Scholarship,2267,1/25/2010,Genomics & Molecular Genetics,1692,CT
College of Agriculture and Natural Resources,Chicago,College of Nursing,Scholarship,2639,3/16/2011,Summer Research Program,1693,IL
University Annual Fund,Lansing,College of Arts and Sciences,Endowment,7590,3/23/2010,Studio Art,1694,MI
Diversity Fund,Indianapolis,College of Arts and Sciences,Endowment,3885,2/4/2011,Experience Architecture,1695,IN
College of Arts and Sciences,St. Paul,College of Arts and Sciences,Scholarship,1667,2/26/2010,French,1696,MN
College of Social Science,Dallas,College of Natural Science,Scholarship,9864,2/23/2011,Environmental Biology/Plant Biol,1697,TX
Trustees Fund,Kansas City,College of Natural Science,Endowment,8726,2/18/2010,Biological Science Interdepartmental,1698,MO
Faculty Chair Endowments,Charlotte,College of Natural Science,Endowment,9434,1/23/2011,Statistics,1699,NC
Trustees Fund,Portland,College of Agriculture and Natural Resources,Endowment,7618,12/24/2010,Landscape Architecture,1700,OR
College of Natural Science,Baton Rouge,College of Political Science,Scholarship,9314,8/4/2011,Comparative Cultures and Politics,1701,LA
College of Natural Science,Kansas City,College of Agriculture and Natural Resources,Scholarship,8197,5/17/2010,Food Science,1702,MO
College of Social Science,Nashville,College of Engineering,Scholarship,1553,10/4/2011,Biosystems Engineering,1703,TN
College of Social Science,Los Angeles,College of Agriculture and Natural Resources,Scholarship,2237,11/30/2010,Entomology,1704,CA
Honors Program,Boston,College of Social Science,Campus Resource,7773,3/5/2011,Political Science-Prelaw,1705,MA
In-State Scholarship Fund,Lansing,College of Agriculture and Natural Resources,Scholarship,9364,9/6/2010,Interior Design,1706,MI
Faculty Chair Endowments,North Las Vegas,College of Arts and Sciences,Endowment,1645,12/21/2013,Apparel and Textiles,1707,NV
College of Communication Arts and Sciences,El Paso,College of Music,Scholarship,6971,4/21/2010,Music Performance,1708,TX
College of Agriculture and Natural Resources,Tallahassee,College of Engineering,Scholarship,3263,3/7/2011,Applied Engineering Sciences,1709,FL
Alumni Association,Chicago,College of Natural Science,Campus Resource,7079,2/18/2013,Astrophysics,1710,IL
College of Agriculture and Natural Resources,Columbia,College of Arts and Sciences,Scholarship,3539,2/6/2010,Arabic,1711,SC
Faculty Chair Endowments,Seattle,College of Agriculture and Natural Resources,Endowment,3670,7/15/2011,Interior Design,1712,WA
College of Agriculture and Natural Resources,Phoenix,College of Agriculture and Natural Resources,Scholarship,2206,3/29/2013,Interior Design,1713,AZ
College of Agriculture and Natural Resources,San Francisco,College of Agriculture and Natural Resources,Scholarship,3584,8/18/2010,Landscape Architecture,1714,CA
College of Natural Science,Birmingham,College of Arts and Sciences,Scholarship,6171,1/16/2011,Spanish,1715,AL
College of Natural Science,Omaha,College of Agriculture and Natural Resources,Scholarship,1954,3/17/2013,Agriculture and Natural Resources-No Preference,1716,NE
Trustees Fund,Seattle,College of Communication Arts and Sciences,Endowment,2271,1/19/2010,Advertising,1717,WA
